dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10000001,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000001,A010000,,Lookout Prospect,55.05612,-132.14344,,United States,Alaska,,M,Copper,"Gold, Silver",,Unknown,,N,Occurrence,"Chalcopyrite, Covellite, Pyrite","Quartz, Sericite",,,,,,,"Conundrum, Mammoth, Wakefield Minerals Co.",,"Hirschmann, M. M. (Elliott, R. L.)",,Schist,,,"Schist Strikes N65w, Dips 70sw",,"USGS PROFESSIONAL PAPER 1, P. 75-77.USGS BULL 347, P. 131.USGS BULL 1246, P. 174USGS MF 433USGS OF 78-869, P. 117",,,,,,,,
10000002,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000002,A010001,,Lucky Find Prospect,55.52751,-132.68514,,United States,Alaska,,M,Copper,Gold,,Unknown,,N,Occurrence,"Chalcopyrite, Pyrite","Calcite, Quartz, Siderite",,,Underground,,,,,Vein Follows Contact,"Mosier, Dan, Hirschmann, M. M. (Elliott, R. L.)",,Diabase,,,,,"USGS BULL 347, P. 165.USGS MF 433USGS OF 78-869, P. 120.",,,,,,,,
10000003,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000003,A010002,,Mccullough Prospect,55.97751,-132.99906,,United States,Alaska,,M,Copper,,"Zinc, Gold",Unknown,,N,Occurrence,"Chalcopyrite, Pyrite, Sphalerite",Quartz,,,,,,,"Claims: Horseshoe, Copper, Lake Bay",,"Hirschmann, M. M. (Elliott, R. L.), Mosier, Dan",,Siltstone,,,,,"USGS BULL 642, P. 88-89.USGS BULL 963-A, P. 13-15.USGS CIRCULAR 252, P. 9, 11.ADGGS GEOCHEMICAL REPORT 6 P. 62.USGS MF 433USGS OF 78-869, P. 131.",,,,,,,,
10000004,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000004,A010003,,Lucky Jim Claim,55.52195,-132.68653,,United States,Alaska,,M,Gold,,"Copper, Lead",Unknown,,N,Occurrence,"Galena, Malachite, Pyrite",,,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,Granite,,Granite,,,"USGS BULL 347, P. 165.USGS MF 433USGS OF 78-869, P. 121.",,,,,,,,
10000005,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000005,A010004,,Matilda Occurrence,55.14556,-132.05233,,United States,Alaska,,M,Gold,,,Unknown,,N,Occurrence,Pyrite,,,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,Mica Schist,,,,,"USGS PROFESSIONAL PAPER 1, P. 81.USGS MF 433USGS OF 78-869, P. 130",,,,,,,,
10000006,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000006,A010005,,Marion Prospect,55.14695,-132.48512,,United States,Alaska,,M,Copper,,Lead,Unknown,,N,Occurrence,"Chalcopyrite, Galena, Pyrite",,,PINCH AND SWELL,Underground,,,,Nutqua Gold Mining Co.,,"Hirschmann, M. M. (Elliott, R. L.)",,Schist,,,,,"USGS BULL 642, P. 90-91.USGS BULL 963-A, P. 19-21.USGS MF 433USGS OF 78-869, P. 129.",,,,,,,,
10000007,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000007,A010006,,Marble Heart Prospect,55.3289,-132.76013,,United States,Alaska,,M,Lead,,,Unknown,,N,Occurrence,Galena,,,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,Limestone,,,,,"USGS PROFESSIONAL PAPER 1, P. 93USGS MF 433.USGS OF 78-869, P. 128.",,,,,,,,
10000008,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000008,A010007,,Morning Star Prospect,55.56362,-132.45042,,United States,Alaska,,M,Gold,Copper,Iron,Unknown,,N,Occurrence,"Chalcopyrite, Magnetite, Pyrite",,,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,,,,,,"USGS PROFESSIONAL PAPER 1, P. 100.USGS MF 433.USGS OF 78-869, P. 141.",,,,,,,,
10000009,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000009,A010008,,Monday Prospect,55.50529,-132.63237,,United States,Alaska,,M,Silver,Gold,Lead,Unknown,Vein,N,Occurrence,"Galena, Pyrite","Quartz, Vesuvianite",,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,Slate,,Andesite,,,"USGS PROFESSIONAL PAPER 1, P. 93.USGS MF 433USGS OF 78-869, P. 136.",,,,,,,,
10000010,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10000010,A010009,,Miller Brothers Claim,55.22334,-132.63513,,United States,Alaska,,M,"Copper, Gold",,,Unknown,,N,Occurrence,,,,,,,,,,,"Hirschmann, M. M. (Elliott, R. L.)",,,,,,,"USGS PROFESSIONAL PAPER 1, P. 107.USGS MF 433USGS OF 78-869, P. 135.",,,,,,,,
